REQUEST: 2024/11/23 12:45:46 Finished processing site https://www.eventbrite.com/e/the-streetwear-expo-fashion-jewelry-and-more-tickets-1045419727547?aff=ebdssbdestsearch [Status: 200, Length: 159483 bytes, Timestamp: 2024-11-23T12:45:46-05:00]
REQUEST: 2024/11/23 12:45:47 Requesting https://www.eventbrite.com/e/ghana-tech-summit-diaspora-edition-tickets-93464513877?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:45:47-05:00]
REQUEST: 2024/11/23 12:45:48 Finished processing site https://www.eventbrite.com/e/ghana-tech-summit-diaspora-edition-tickets-93464513877?aff=ebdssbdestsearch [Status: 200, Length: 173019 bytes, Timestamp: 2024-11-23T12:45:48-05:00]
REQUEST: 2024/11/23 12:45:49 Requesting https://www.eventbrite.com/e/flag-fest-thanksgiving-eve-sobs-dancehall-soca-more-tickets-1032607626207?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:45:49-05:00]
REQUEST: 2024/11/23 12:45:49 Finished processing site https://www.eventbrite.com/e/flag-fest-thanksgiving-eve-sobs-dancehall-soca-more-tickets-1032607626207?aff=ebdssbdestsearch [Status: 200, Length: 166173 bytes, Timestamp: 2024-11-23T12:45:49-05:00]
REQUEST: 2024/11/23 12:45:49 Requesting https://www.eventbrite.com/e/white-december-2024-all-white-gala-tickets-1051941263637?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:45:49-05:00]
REQUEST: 2024/11/23 12:45:50 Finished processing site https://www.eventbrite.com/e/white-december-2024-all-white-gala-tickets-1051941263637?aff=ebdssbdestsearch [Status: 200, Length: 169767 bytes, Timestamp: 2024-11-23T12:45:50-05:00]
REQUEST: 2024/11/23 12:45:51 Requesting https://www.eventbrite.com/e/dalmatino-live-in-concert-tickets-1013854204217?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:45:51-05:00]
REQUEST: 2024/11/23 12:45:52 Finished processing site https://www.eventbrite.com/e/dalmatino-live-in-concert-tickets-1013854204217?aff=ebdssbdestsearch [Status: 200, Length: 169833 bytes, Timestamp: 2024-11-23T12:45:52-05:00]
REQUEST: 2024/11/23 12:45:52 Requesting https://www.eventbrite.com/e/press-play-2024-tickets-1048948040827?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:45:52-05:00]
REQUEST: 2024/11/23 12:45:53 Finished processing site https://www.eventbrite.com/e/press-play-2024-tickets-1048948040827?aff=ebdssbdestsearch [Status: 200, Length: 159423 bytes, Timestamp: 2024-11-23T12:45:53-05:00]
REQUEST: 2024/11/23 12:50:21 Requesting https://www.eventbrite.com/d/nj--newark/all-events/?page=1 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:21-05:00]
REQUEST: 2024/11/23 12:50:22 Finished processing site https://www.eventbrite.com/d/nj--newark/all-events/?page=1 [Status: 200, Length: 910994 bytes, Timestamp: 2024-11-23T12:50:22-05:00]
REQUEST: 2024/11/23 12:50:22 Requesting https://www.eventbrite.com/d/nj--newark/all-events/?page=2 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:22-05:00]
REQUEST: 2024/11/23 12:50:22 Requesting https://www.eventbrite.com/e/not-a-normal-holiday-market-nyc-december-2024-tickets-1069055256049?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:22-05:00]
REQUEST: 2024/11/23 12:50:23 Finished processing site https://www.eventbrite.com/e/not-a-normal-holiday-market-nyc-december-2024-tickets-1069055256049?aff=ebdssbdestsearch [Status: 200, Length: 223897 bytes, Timestamp: 2024-11-23T12:50:23-05:00]
REQUEST: 2024/11/23 12:50:24 Finished processing site https://www.eventbrite.com/d/nj--newark/all-events/?page=2 [Status: 200, Length: 789728 bytes, Timestamp: 2024-11-23T12:50:24-05:00]
REQUEST: 2024/11/23 12:50:24 Requesting https://www.eventbrite.com/d/nj--newark/all-events/?page=3 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:24-05:00]
REQUEST: 2024/11/23 12:50:24 Requesting https://www.eventbrite.com/e/santacon-2024-nyc-official-new-york-city-tickets-1010880730477?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:24-05:00]
REQUEST: 2024/11/23 12:50:25 Finished processing site https://www.eventbrite.com/e/santacon-2024-nyc-official-new-york-city-tickets-1010880730477?aff=ebdssbdestsearch [Status: 200, Length: 223784 bytes, Timestamp: 2024-11-23T12:50:25-05:00]
REQUEST: 2024/11/23 12:50:25 Requesting https://www.eventbrite.com/e/free-drinks-entry-certified-saturdays-at-katra-lounge-tickets-998177023347?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:25-05:00]
REQUEST: 2024/11/23 12:50:25 Finished processing site https://www.eventbrite.com/d/nj--newark/all-events/?page=3 [Status: 200, Length: 793925 bytes, Timestamp: 2024-11-23T12:50:25-05:00]
REQUEST: 2024/11/23 12:50:25 Requesting https://www.eventbrite.com/d/nj--newark/all-events/?page=4 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:25-05:00]
REQUEST: 2024/11/23 12:50:26 Finished processing site https://www.eventbrite.com/e/free-drinks-entry-certified-saturdays-at-katra-lounge-tickets-998177023347?aff=ebdssbdestsearch [Status: 200, Length: 161961 bytes, Timestamp: 2024-11-23T12:50:26-05:00]
REQUEST: 2024/11/23 12:50:27 Finished processing site https://www.eventbrite.com/d/nj--newark/all-events/?page=4 [Status: 200, Length: 790113 bytes, Timestamp: 2024-11-23T12:50:27-05:00]
REQUEST: 2024/11/23 12:50:27 Requesting https://www.eventbrite.com/d/nj--jersey%20city/all-events/?page=1 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:27-05:00]
REQUEST: 2024/11/23 12:50:27 Requesting https://www.eventbrite.com/e/new-years-eve-5-hours-premium-open-bar-at-katra-nyc-tickets-698713740607?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:27-05:00]
REQUEST: 2024/11/23 12:50:28 Finished processing site https://www.eventbrite.com/e/new-years-eve-5-hours-premium-open-bar-at-katra-nyc-tickets-698713740607?aff=ebdssbdestsearch [Status: 200, Length: 173465 bytes, Timestamp: 2024-11-23T12:50:28-05:00]
REQUEST: 2024/11/23 12:50:28 Finished processing site https://www.eventbrite.com/d/nj--jersey-city/all-events/?page=1 [Status: 200, Length: 812748 bytes, Timestamp: 2024-11-23T12:50:28-05:00]
REQUEST: 2024/11/23 12:50:28 Requesting https://www.eventbrite.com/d/nj--jersey%20city/all-events/?page=2 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:28-05:00]
REQUEST: 2024/11/23 12:50:28 Requesting https://www.eventbrite.com/e/party-at-soho-1-event-everyone-free-at-katra-nyc-tickets-1028036624217?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:50:28-05:00]
REQUEST: 2024/11/23 12:50:29 Finished processing site https://www.eventbrite.com/e/party-at-soho-1-event-everyone-free-at-katra-nyc-tickets-1028036624217?aff=ebdssbdestsearch [Status: 200, Length: 169372 bytes, Timestamp: 2024-11-23T12:50:29-05:00]
